month,dln_cpi,dln_gengi,dln_eu_ppi,cum_brent,cum_cpi,cum_gengi,cum_eu_ppi,shock_pct,duration,shock_label
0,4.6820494826984704e-4,-2.9757179938581443e-5,0.002982911102347394,9.531017980432493,0.04682049482698471,-0.0029757179938581443,0.2982911102347394,10,1 month,+10%
1,1.408252002206541e-4,2.1875521650466159e-4,-0.0016742409971783265,0,0.06090301484905011,0.018899803656608014,0.13086701051690675,10,1 month,+10%
2,-3.4709322310774206e-4,0.0031859872651963522,-3.3024246577170215e-4,0,0.026193692538275908,0.33749853017624326,0.09784276393973654,10,1 month,+10%
3,7.224269349349992e-4,-0.0015527839546659941,-2.3149265227811675e-4,0,0.09843638603177582,0.18222013470964382,0.07469349871192486,10,1 month,+10%
4,-3.5461430716754623e-4,-0.0013292325051826941,-2.18723512347716e-4,0,0.0629749553150212,0.04929688419137441,0.05282114747715326,10,1 month,+10%
5,-9.904209615206475e-5,3.667180172417519e-4,-9.594591647978145e-5,0,0.05307074569981473,0.0859686859155496,0.04322655582917512,10,1 month,+10%
6,-4.2063612850719995e-5,5.169296481531693e-5,-9.67636893665024e-5,0,0.04886438441474273,0.09113798239708129,0.03355018689252488,10,1 month,+10%
7,-1.0259630494369436e-4,-3.0644028849953486e-4,-1.0378829942308881e-4,0,0.03860475392037329,0.060493953547127804,0.023171356950216,10,1 month,+10%
8,-3.8525712928150734e-05,8.9149313694407e-5,-5.0294226702748794e-5,0,0.03475218262755822,0.0694088849165685,0.018141934279941117,10,1 month,+10%
9,-3.19234533419626e-5,4.0929365539614515e-5,-5.326928805754385e-5,0,0.03155983729336196,0.07350182147052996,0.012815005474186734,10,1 month,+10%
10,-3.7327536100502726e-5,-4.982679717509958e-5,-4.740066757214813e-5,0,0.027827083683311687,0.06851914175302,0.008074938716971921,10,1 month,+10%
11,-1.893831184047014e-5,-2.8996789821059132e-5,-3.0602054819198025e-5,0,0.02593325249926467,0.06561946277091409,0.005014733235052119,10,1 month,+10%
12,-1.9652608958089027e-5,-1.7568072707196958e-5,-2.521812347471052e-5,0,0.02396799160345577,0.06386265550019439,0.002492920887581067,10,1 month,+10%
0,4.6820494826984704e-4,-2.9757179938581443e-5,0.002982911102347394,9.531017980432493,0.04682049482698471,-0.0029757179938581443,0.2982911102347394,10,3 months,+10%
1,6.090301484905011e-4,1.8899803656607927e-4,0.0013086701051690675,9.531017980432493,0.10772350967603482,0.015924085662749783,0.42915812075164617,10,3 months,+10%
2,2.6193692538275994e-4,0.0033749853017624176,9.784276393973645e-4,9.531017980432493,0.1339172022143108,0.35342261583899154,0.5270008846913826,10,3 months,+10%
3,5.161589120479112e-4,0.0018519585270350195,-0.002235976115228142,0,0.18553309341910193,0.5386184685424935,0.3034032731685684,10,3 months,+10%
4,2.0719404659714363e-5,3.0397080534760174e-4,-7.804586303975289e-4,0,0.18760503388507338,0.5690155490772537,0.22535741012881552,10,3 months,+10%
5,2.6877053161538517e-4,-0.0025152984426070474,-5.461620811056126e-4,0,0.2144820870466119,0.317485704816549,0.17074120201825427,10,3 months,+10%
6,-4.957200161703368e-4,-9.108215231256947e-4,-4.1143311819399973e-4,0,0.1649100854295782,0.22640355250397948,0.12959789019885432,10,3 months,+10%
7,-2.4370201394648128e-4,1.1197069355756845e-4,-2.9649790526937406e-4,0,0.14053988403493006,0.23760062185973632,0.09994809967191688,10,3 months,+10%
8,-1.8318563072255902e-4,-1.655980099897125e-4,-2.5084621549234087e-4,0,0.12222132096267417,0.22104082086076507,0.0748634781226828,10,3 months,+10%
